Ser No,Drone ID,Drone Name,Type,Form Factor,OEM,Range,Weight (KG),Endurance (min),Payload,Payload Weight,Payload Description,Guidance,Anti Ew,C2 Link Frequency,Proc Fund,Serv,Cost (in Thousands),Image Front,Image Back,Image Top,Image Bottom,Unit,Brigade,Division,Corps,Command,KUIN-G
1,CO-CO-BRIG-UNIT-DEM-TRG-01,Demo Drone 001,Trg,QC,OEM Alpha,< 5 km,2,20,Day Night Cam,0.1,Synthetic payload profile 1,Comd,RTH,2.4 GHz,ATG,Unser,287,Dummy image placeholder,,,,Unit 1,Brigade 1,Division Alpha,Corps North,Command East,RRO32PCEDI7CBVW4
2,CO-CO-BRIG-UNIT-DEM-SVL-02,Demo Drone 002,Svl (SR),HC,OEM Bravo,< 5 km,3,35,Thermal Cam,0.2,Synthetic payload profile 2,GNSS (GPS),Anti-jam,5.8 GHz,Regtl,Ser,324,Dummy image placeholder,,,,Unit 2,Brigade 2,Division Alpha,Corps North,Command East,U3UT5ZETML6TQI5I
3,CO-CO-BRIG-UNIT-DEM-SVL-03,Demo Drone 003,Svl (MR),Fixed Wg,OEM Delta,5-10 km,4,60,Mapping Sensor,0.3,Synthetic payload profile 3,Spool,None,900 MHz,Unit,Ser,361,Dummy image placeholder,,,,Unit 3,Brigade 3,Division Alpha,Corps North,Command East,DFQLMTWDGL7PYSPX
4,CO-CO-BRIG-UNIT-DEM-FPV-04,Demo Drone 004,FPV,Swarm,OEM Nova,5-10 km,5,120,Training Camera,0.4,Synthetic payload profile 4,Tethered drone,Not Specified,2.4 GHz,Central,Ser,398,Dummy image placeholder,,,,Unit 4,Brigade 4,Division Alpha,Corps North,Command East,LOTHL42SCQ2Y4FXU
5,CO-CO-BRIG-UNIT-DEM-KAM-05,Demo Drone 005,Kamikaze,QC,OEM Zenith,5-10 km,6,480,None,0.5,Synthetic payload profile 5,Not Specified,RTH,5.8 GHz,ATG,Ser,435,Dummy image placeholder,,,,Unit 5,Brigade 5,Division Alpha,Corps North,Command East,I6LQAVNNJ6J6VCMR
6,CO-CO-BRIG-UNIT-DEM-LGS-06,Demo Drone 006,Lgs,HC,OEM Alpha,5-10 km,7,20,Day Night Cam,0.6,Synthetic payload profile 1,Comd,Anti-jam,900 MHz,Regtl,Ser,472,Dummy image placeholder,,,,Unit 6,Brigade 6,Division Alpha,Corps North,Command East,SRTJQVELNUO7PS4O
7,CO-CO-BRIG-UNIT-DEM-TRG-07,Demo Drone 007,Trg,Fixed Wg,OEM Bravo,5-10 km,8,35,Thermal Cam,0.7,Synthetic payload profile 2,GNSS (GPS),None,2.4 GHz,Unit,Ser,509,Dummy image placeholder,,,,Unit 7,Brigade 1,Division Alpha,Corps North,Command East,OLSIH4BOURHEZDWQ
8,CO-CO-BRIG-UNIT-DEM-SVL-08,Demo Drone 008,Svl (SR),Swarm,OEM Delta,5-10 km,1,60,Mapping Sensor,0.8,Synthetic payload profile 3,Spool,Not Specified,5.8 GHz,Central,Ser,546,Dummy image placeholder,,,,Unit 8,Brigade 2,Division Alpha,Corps North,Command East,VLH6IGUSGS33HZK6
9,CO-CO-BRIG-UNIT-DEM-SVL-09,Demo Drone 009,Svl (MR),QC,OEM Nova,10-30 km,2,120,Training Camera,0.9,Synthetic payload profile 4,Tethered drone,RTH,900 MHz,ATG,Unser,583,Dummy image placeholder,,,,Unit 9,Brigade 3,Division Alpha,Corps North,Command East,3XZTL7GGDRXV2QXW
10,CO-CO-BRIG-UNIT-DEM-FPV-10,Demo Drone 010,FPV,HC,OEM Zenith,10-30 km,3,480,None,1,Synthetic payload profile 5,Not Specified,Anti-jam,2.4 GHz,Regtl,Ser,620,Dummy image placeholder,,,,Unit 10,Brigade 4,Division Alpha,Corps North,Command East,OFYKH4NDIHUJOW6K
